iter	MultiClass
0	1.783610618
1	1.661288663
2	1.564000363
3	1.490518212
4	1.42014189
5	1.36053901
6	1.308143749
7	1.267926084
8	1.227771225
9	1.191384578
10	1.160526995
11	1.137557472
12	1.111480823
13	1.082933178
14	1.058275397
15	1.041421418
16	1.022455204
17	1.000085794
18	0.9824843123
19	0.9693082714
20	0.9572992
21	0.9404997475
22	0.9230959568
23	0.9116626234
24	0.9001170672
25	0.8843050097
26	0.8715927618
27	0.8562916455
28	0.8486651824
29	0.8362167263
30	0.8290224051
31	0.8163659837
32	0.8115627515
33	0.8018867611
34	0.7923734099
35	0.7836081402
36	0.778605637
37	0.7696075677
38	0.7609738888
39	0.7535918563
40	0.7462119284
41	0.7388097668
42	0.7337643502
43	0.7222761317
44	0.7174511841
45	0.7123303823
46	0.7051907916
47	0.6964590423
48	0.6913038602
49	0.6843226916
50	0.6767395281
51	0.6693186959
52	0.6651614695
53	0.6616177373
54	0.6557097561
55	0.6507860209
56	0.6442128254
57	0.6437945772
58	0.6398550516
59	0.6357717166
60	0.6314214763
61	0.627069329
62	0.6201879583
63	0.6179173039
64	0.6135005484
65	0.6090871498
66	0.6049492771
67	0.6015936508
68	0.5974392084
69	0.5952366554
70	0.5916954741
71	0.5865141157
72	0.5796818447
73	0.5751176024
74	0.5721391957
75	0.5680221847
76	0.5642663566
77	0.5600698048
78	0.5575827757
79	0.5541416747
80	0.5515655581
81	0.5490596393
82	0.5465954297
83	0.5430928902
84	0.5392230215
85	0.5380164992
86	0.535111591
87	0.5334061326
88	0.5307914674
89	0.5277001614
90	0.5235988733
91	0.5209980616
92	0.5173390492
93	0.51474548
94	0.5120758354
95	0.5092655682
96	0.5064688953
97	0.5019498085
98	0.5005875945
99	0.4988743399
100	0.4962306802
101	0.4936434676
102	0.4910186896
103	0.4891826762
104	0.4867733996
105	0.4852080626
106	0.4834358802
107	0.4818986401
108	0.4800880483
109	0.4782675003
110	0.4760374097
111	0.4741411699
112	0.4717244278
113	0.4694581254
114	0.4672739584
115	0.4662033317
116	0.4639057851
117	0.4623936822
118	0.4600200039
119	0.4593183828
120	0.4580758
121	0.4557073745
122	0.452594919
123	0.451156499
124	0.44909979
125	0.4478543217
126	0.4461745316
127	0.445407993
128	0.4433168283
129	0.4416195348
130	0.4403212847
131	0.4388108427
132	0.436845867
133	0.4353140086
134	0.4336636856
135	0.4315548548
136	0.4301086921
137	0.4287314538
138	0.4272115679
139	0.4262748181
140	0.4255202293
141	0.423658359
142	0.4219726494
143	0.4196746336
144	0.4180964542
145	0.4170586063
146	0.4151362109
147	0.4135879286
148	0.4125990191
149	0.411596407
150	0.4104376195
151	0.4094513863
152	0.408159175
153	0.4065716858
154	0.4056872915
155	0.404347689
156	0.4034320077
157	0.4022322657
158	0.4014668076
159	0.400078575
160	0.3987674556
161	0.3974583739
162	0.3962290504
163	0.3952972518
164	0.3942553041
165	0.3934984008
166	0.3926668372
167	0.3913007462
168	0.390309779
169	0.3895805482
170	0.3885066422
171	0.3878613283
172	0.3867590949
173	0.3857313751
174	0.3846541745
175	0.383754255
176	0.3824644263
177	0.3813013241
178	0.3799013636
179	0.3792828079
180	0.3782520741
181	0.3776143855
182	0.3764521517
183	0.375533628
184	0.3741436755
185	0.3727133848
186	0.3719689486
187	0.3713234713
188	0.3703781275
189	0.3694192222
190	0.3686375867
191	0.3675211669
192	0.3667523171
193	0.3657185364
194	0.3649524906
195	0.3639307977
196	0.363340098
197	0.362864191
198	0.3622023332
199	0.3614669144
200	0.3605759256
201	0.3598170995
202	0.3592474085
203	0.3588351133
204	0.3579327994
205	0.3573989408
206	0.3562665591
207	0.3553786303
208	0.3544922502
209	0.353679855
210	0.3528730637
211	0.3521395983
212	0.3514255816
213	0.3506254229
214	0.3494392882
215	0.3484025554
216	0.3474868856
217	0.3470867318
218	0.3465036473
219	0.3460825516
220	0.345476084
221	0.3449271717
222	0.3443498467
223	0.3438082346
224	0.3432523346
225	0.3427100311
226	0.3421788233
227	0.3416092299
228	0.3411052256
229	0.3403909645
230	0.3398677574
231	0.3393448033
232	0.3387257003
233	0.3383279419
234	0.3374896772
235	0.3370222235
236	0.3365294362
237	0.3359444293
238	0.3350977631
239	0.3345105549
240	0.3339628482
241	0.3332512274
242	0.3327656792
243	0.3322594114
244	0.331843844
245	0.3312652753
246	0.3306853624
247	0.3302074577
248	0.3296267957
249	0.328844261
250	0.3285248591
251	0.3281116555
252	0.3275987125
253	0.3270739127
254	0.3264130019
255	0.3257684709
256	0.3249574866
257	0.3244471465
258	0.323624828
259	0.3232741485
260	0.322987843
261	0.3226836122
262	0.3221325351
263	0.3214990665
264	0.3210562921
265	0.3207807459
266	0.3204241848
267	0.3199762725
268	0.3193919238
269	0.3189566457
270	0.3185043535
271	0.3178495373
272	0.3175120705
273	0.3169718858
274	0.3164376344
275	0.3160349382
276	0.3155698313
277	0.3150109917
278	0.3146807066
279	0.3143116316
280	0.3139714637
281	0.3136530867
282	0.3132466606
283	0.3128257345
284	0.3124064745
285	0.311764415
286	0.3112764136
287	0.3107516547
288	0.3104108616
289	0.3100001281
290	0.3096739972
291	0.309432168
292	0.3090598052
293	0.3085306549
294	0.3081329455
295	0.3079361514
296	0.3073168812
297	0.3067924151
298	0.3063429337
299	0.3057782536
300	0.3054895133
301	0.3051578458
302	0.304657499
303	0.3043810944
304	0.3039822821
305	0.3035920989
306	0.303011839
307	0.3027510406
308	0.3024750574
309	0.3020400833
310	0.3017240845
311	0.3014613231
312	0.3010708331
313	0.3004626563
314	0.3001870981
315	0.299797236
316	0.2994528461
317	0.2991140046
318	0.2986464351
319	0.2983363651
320	0.2978984015
321	0.2974380471
322	0.2970144555
323	0.2965276245
324	0.2959730464
325	0.2956584619
326	0.2951538739
327	0.2947578312
328	0.2945339188
329	0.2940861447
330	0.2937282635
331	0.2934826376
332	0.2932767785
333	0.2929582361
334	0.2925338276
335	0.2921943264
336	0.2918352861
337	0.29151215
338	0.2911655065
339	0.290753066
340	0.2904205581
341	0.2901226972
342	0.2898784804
343	0.2894103698
344	0.2891284887
345	0.2889023948
346	0.28847761
347	0.2881637622
348	0.2876241988
349	0.2872713178
350	0.2868775721
351	0.2865609063
352	0.2861531967
353	0.2856691678
354	0.2852877967
355	0.2848418928
356	0.284540545
357	0.2840303379
358	0.2836634432
359	0.2831656731
360	0.2827242547
361	0.2824775621
362	0.2821853316
363	0.2819876472
364	0.281732763
365	0.2814075178
366	0.2809799176
367	0.280701294
368	0.2802978638
369	0.2799384756
370	0.2797570314
371	0.2793759234
372	0.2791687632
373	0.2788609701
374	0.2783664484
375	0.2780061929
376	0.2777176056
377	0.277389745
378	0.2770881426
379	0.2768223618
380	0.2766545882
381	0.2764509152
382	0.2762192832
383	0.2758211064
384	0.2754420091
385	0.2751216772
386	0.2748018268
387	0.2743785251
388	0.2739762293
389	0.273815088
390	0.2735487986
391	0.2732502442
392	0.2730468639
393	0.2727690017
394	0.2724473792
395	0.2720816219
396	0.2716181399
397	0.2713569623
398	0.2710756525
399	0.2709093195
400	0.2706440397
401	0.270422707
402	0.2701861131
403	0.2699218669
404	0.2696820495
405	0.2693845125
406	0.2691790521
407	0.268990792
408	0.2685888646
409	0.2682701267
410	0.268026103
411	0.2678499682
412	0.2676345149
413	0.2673611592
414	0.2671614363
415	0.2669824979
416	0.266563964
417	0.2664234752
418	0.2660261098
419	0.2658387117
420	0.2656146741
421	0.2654534374
422	0.2651001353
423	0.2648765085
424	0.26461948
425	0.264388004
426	0.2641455006
427	0.2639137058
428	0.2636620163
429	0.2634615195
430	0.2632045904
431	0.2629738411
432	0.2627672392
433	0.2624625259
434	0.2622364522
435	0.2620057306
436	0.2618760257
437	0.2616443152
438	0.261399104
439	0.2612351409
440	0.2609607539
441	0.2605802452
442	0.260313667
443	0.2600740766
444	0.2598362414
445	0.2596784942
446	0.2594092736
447	0.259147988
448	0.2587073767
449	0.2584535602
450	0.2582112297
451	0.2579842066
452	0.257686896
453	0.2574513264
454	0.2571939528
455	0.2570478101
456	0.2568600875
457	0.2566168831
458	0.2565233215
459	0.2563531393
460	0.2561121231
461	0.2558539894
462	0.2555952997
463	0.2553675575
464	0.2551549983
